ISO3,Name,Exchange,Ticker,Price_Change
ARG,Argentina,Merval Exchange,^MERV,-1.5312760852829006
AUS,Australia,ASX,^AXJO,-0.4303891539282891
BLR,Belarus,BEL 20,^BFX,0.005579328575781023
BRA,Brazil,Sao Paulo Exchange,^BVSP,0.5681289000651951
CAN,Canada,Toronto Exchange,^GSPTSE,0.580665667967233
CHN,China,Shenzhen Component,399001.SZ,-0.04311385125610785
EGY,Egypt,EGX,EGPT,0.4848905757411288
FRA,France,CAC 40,^FCHI,0.4665350887023529
DEU,Germany,DAX,^GDAXI,0.14725719977723067
HKG,Hong Kong,Hang Seng Index,^HSI,-0.5829930988493888
IND,India,BSE (Bombay),^BSESN,0.37625235629115594
IDN,Indonesia,Jakarta Index,^JKSE,-0.6821987676337561
ISR,Israel,Tel Aviv Stock Exchange,^TA125.TA,-0.027471099291782267
JPN,Japan,Nikkei 225,^N225,1.8581276084782792
KOR,"Korea, Republic of",KOSPI,^KS11,0.26157778821493216
MYS,Malaysia,Kuala Lumpur Exchange,^KLSE,0.1501629861884248
MEX,Mexico,IPC Mexico,^MXX,-0.15207784883328979
NLD,Netherlands,Amsterdam AEX Index,^AEX,-0.037394323256805494
NZL,New Zealand,NZSE,VGI,-0.266427463245003
NOR,Norway,Oslo Exchange Benchmark Index_GI,^OSEAX,-0.7063831327425629
PHL,Philippines,PSEi Index,PSEI.PS,0.7839801659300729
PRT,Portugal,Dow Jones Portugal Index EUR,SPY,1.5384659281879762
RUS,Russian Federation,MOEX Russia index,IMOEX.ME,0.06709819194167836
ZAF,South Africa,Johannesburg,^JN0U.JO,-0.561557079727085
TWN,Taiwan,TSEC,^TWII,0.6433370056517662
TUR,Turkey,BIST 100,XU100.IS,0.21274094956169742
GBR,United Kingdom,FTSE,^FTSE,-0.6665963946937034
USA,United States,SPX,VOO,1.5389956469345756
